Equipo;PG;PE;PP;GF;GC;Ptos
Universitario;12;4;1;32;7;40
Sporting Cristal;13;1;3;44;20;40
Melgar;12;2;3;36;19;38
Alianza Lima;11;0;6;32;16;33
Cusco FC;9;2;6;22;21;29
ADT;8;4;5;29;24;28
Cienciano;6;8;3;20;20;26
Comerciantes U.;6;4;7;22;31;22
Los Chankas;6;3;8;25;26;21
Vallejo;4;8;5;19;24;20
Atlético Grau;4;7;6;19;17;19
Sport Boys;5;4;8;18;20;19
Sport Huancayo;5;4;8;18;29;19
UTC;4;4;9;21;29;16
Garcilaso;3;5;9;20;26;14
Alianza Atlético;3;5;9;11;19;14
Mannucci;3;5;9;11;34;14
Unión Comercio;1;6;10;17;34;9
